,t,s
0,0.0,0.0
1,0.001,0.022147019941676303
2,0.002,0.04403697251858991
3,0.003,0.065684220379538
4,0.004,0.08710269517682374
5,0.005,0.10830591449139823
6,0.006,0.12930699822799624
7,0.007,0.1501186844914719
8,0.008,0.1707533449556755
9,0.009000000000000001,0.19122299973626647
10,0.01,0.21153933177884351
11,0.011,0.23171370077369516
12,0.012,0.25175715660834175
13,0.013000000000000001,0.27168045236886
14,0.014,0.29149405690075847
15,0.015,0.31120816693991216
16,0.016,0.33083271882377097
17,0.017,0.35037739979273375
18,0.018000000000000002,0.3698516588912325
19,0.019,0.3892647174776986
20,0.02,0.408625579352192
21,0.021,0.4279430405100647
22,0.022,0.44722569852960237
23,0.023,0.46648196160114885
24,0.024,0.48572005720476175
25,0.025,0.5049480404429828
26,0.026000000000000002,0.5241738020348273
27,0.027,0.5434050759766083
28,0.028,0.562649446874713
29,0.029,0.5819143569549395
30,0.03,0.601207112752485
31,0.031,0.6205348914861487
32,0.032,0.6399047471197772
33,0.033,0.6593236161134354
34,0.034,0.6787983228662301
35,0.035,0.6983355848521532
36,0.036000000000000004,0.7179420174497354
37,0.037,0.7376241384657239
38,0.038,0.7573883723524011
39,0.039,0.7772410541175653
40,0.04,0.7971884329255805
41,0.041,0.8172366753872832
42,0.042,0.8373918685359019
43,0.043000000000000003,0.8576600224855071
44,0.044,0.8780470727678542
45,0.045,0.8985588823428265
46,0.046,0.91920124327701
47,0.047,0.9399798780842541
48,0.048,0.9609004407213841
49,0.049,0.9819685172315307
50,0.05,1.0031896260268398
51,0.051000000000000004,1.0245692178016106
52,0.052000000000000005,1.0461126750661949
53,0.053,1.067825311291264
54,0.054,1.0897123696513313
55,0.055,1.1117790213556835
56,0.056,1.1340303635541535
57,0.057,1.1564714168044483
58,0.058,1.1791071220870273
59,0.059000000000000004,1.2019423373528222
60,0.06,1.224981833588399
61,0.061,1.2482302903824936
62,0.062,1.2716922909771948
63,0.063,1.295372316786437
64,0.064,1.3192747413638664
65,0.065,1.3434038238016086
66,0.066,1.3677637015409565
67,0.067,1.3923583825755683
68,0.068,1.4171917370273723
69,0.069,1.442267488075094
70,0.07,1.4675892022150827
71,0.07100000000000001,1.4931602788340166
72,0.07200000000000001,1.5189839390730482
73,0.073,1.5450632139630642
74,0.074,1.5714009318109987
75,0.075,1.5979997048175394
76,0.076,1.6248619149071541
77,0.077,1.6519896987521292
78,0.078,1.6793849319732999
79,0.079,1.7070492125013534
80,0.08,1.734983843084061
81,0.081,1.763189812926512
82,0.082,1.7916677784534853
83,0.083,1.8204180431854193
84,0.084,1.8494405367221791
85,0.085,1.8787347928318794
86,0.08600000000000001,1.9082999266455216
87,0.08700000000000001,1.9381346109621105
88,0.088,1.9682370516732879
89,0.089,1.998604962321389
90,0.09,2.0292355378101767
91,0.091,2.060125427293439
92,0.092,2.0912707062730798
93,0.093,2.122666847945411
94,0.094,2.1543086938419913
95,0.095,2.186190423819652
96,0.096,2.2183055254632644
97,0.097,2.250646762974364
98,0.098,2.2832061456289545
99,0.099,2.315974895898676
100,0.1,2.348943417341
101,0.101,2.3821012623762328
102,0.10200000000000001,2.4154371000817823
103,0.10300000000000001,2.4489386841474063
104,0.10400000000000001,2.48259282114887
105,0.105,2.516385339311641
106,0.106,2.550301057950751
107,0.107,2.5843237577877574
108,0.108,2.618436152360676
109,0.109,2.6526198607577145
110,0.11,2.6868553819204886
111,0.111,2.7211220707769623
112,0.112,2.7553981164784442
113,0.113,2.789660523028379
114,0.114,2.8238850926032186
115,0.115,2.858046411877026
116,0.116,2.892117841671448
117,0.117,2.9260715102610253
118,0.11800000000000001,2.9598783106701374
119,0.11900000000000001,2.993507902301963
120,0.12,3.026928717241332
121,0.121,3.060107971571933
122,0.122,3.0930116820437235
123,0.123,3.125604688418223
124,0.124,3.157850681807374
125,0.125,3.1897122393055506
126,0.126,3.2211508651937746
127,0.127,3.2521270389700954
128,0.128,3.282600270430169
129,0.129,3.3125291619872117
130,0.13,3.341871478380606
131,0.131,3.370584223877529
132,0.132,3.3986237270220396
133,0.133,3.4259457329313268
134,0.134,3.452505503079447
135,0.135,3.478257922445237
136,0.136,3.503157613833581
137,0.137,3.5271590591083837
138,0.138,3.5502167270020615
139,0.139,3.5722852070909004
140,0.14,3.5933193494490028
141,0.14100000000000001,3.6132744094167544
142,0.14200000000000002,3.632106196843755
143,0.14300000000000002,3.649771229092062
144,0.14400000000000002,3.666226887014544
145,0.145,3.681431573056286
146,0.146,3.6953448705655396
147,0.147,3.7079277033458387
148,0.148,3.71914249443378
149,0.149,3.728953323048678
150,0.15,3.7373260786318805
151,0.151,3.7442286108758736
152,0.152,3.749630874637217
153,0.153,3.753505068633396
154,0.154,3.755825766842367
155,0.155,3.7565700415551113
156,0.156,3.7557175770759095
157,0.157,3.753250773122189
158,0.158,3.7491548370451744
159,0.159,3.743417864073601
160,0.16,3.7360309048745513
161,0.161,3.7269880198269676
162,0.162,3.716286319513296
163,0.163,3.703925991051649
164,0.164,3.6899103100131674
165,0.165,3.674245637795314
166,0.166,3.6569414044498085
167,0.167,3.6380100770920407
168,0.168,3.6174671141452355
169,0.169,3.595330905795639
170,0.17,3.5716227011528026
171,0.171,3.546366522720091
172,0.17200000000000001,3.5195890688833407
173,0.17300000000000001,3.4913196052188447
174,0.17400000000000002,3.461589845504446
175,0.17500000000000002,3.430433823388537
176,0.176,3.397887755730562
177,0.177,3.363989898672646
178,0.178,3.328780397535117
179,0.179,3.2923011316488218
180,0.18,3.2545955552445527
181,0.181,3.215708535514962
182,0.182,3.175686188947662
183,0.183,3.1345757170005384
184,0.184,3.092425242152512
185,0.185,3.0492836453161556
186,0.186,3.00520040554369
187,0.187,2.9602254428962125
188,0.188,2.91440896527867
189,0.189,2.8678013199713313
190,0.19,2.8204528505134814
191,0.191,2.772413759517956
192,0.192,2.7237339779170346
193,0.193,2.6744630410621397
194,0.194,2.624649972022751
195,0.195,2.5743431723547254
196,0.196,2.523590320535664
197,0.197,2.4724382781956558
198,0.198,2.4209330042063084
199,0.199,2.3691194766297996
200,0.2,2.3170416224732007
201,0.201,2.2647422551416807
202,0.202,2.2122630194376627
203,0.203,2.159644343911552
204,0.20400000000000001,2.1069254003333673
205,0.20500000000000002,2.054144070023344
206,0.20600000000000002,2.0013369167532518
207,0.20700000000000002,1.9485391659085922
208,0.20800000000000002,1.8957846895847552
209,0.209,1.843105997277415
210,0.21,1.7905342318185813
