,t,s
0,0.0,0.0
1,0.001,0.01712060398833526
2,0.002,0.033984934341254915
3,0.003,0.050608147311564176
4,0.004,0.06700496790491592
5,0.005,0.08318970667967289
6,0.006,0.09917627601682313
7,0.007,0.11497820587117463
8,0.008,0.13060865901518956
9,0.009000000000000001,0.1460804457868738
10,0.01,0.1614060383531218
11,0.011,0.17659758449983995
12,0.012,0.19166692096003896
13,0.013000000000000001,0.20662558629090655
14,0.014,0.22148483331064803
15,0.015,0.2362556411056223
16,0.016,0.25094872661800816
17,0.017,0.26557455582391193
18,0.018000000000000002,0.28014335451148004
19,0.019,0.2946651186682087
20,0.02,0.30914962448625005
21,0.021,0.32360643799410593
22,0.022,0.3380449243226723
23,0.023,0.3524742566131584
24,0.024,0.3669034245739478
25,0.025,0.38134124269300385
26,0.026000000000000002,0.39579635811194347
27,0.027,0.4102772581674136
28,0.028,0.4247922776049061
29,0.029,0.43934960546963925
30,0.03,0.4539572916786138
31,0.031,0.46862325327742826
32,0.032,0.4833552803848963
33,0.033,0.49816104182797033
34,0.034,0.5130480904689164
35,0.035,0.5280238682261241
36,0.036000000000000004,0.5430957107893623
37,0.037,0.558270852029711
38,0.038,0.5735564281038059
39,0.039,0.5889594812514323
40,0.04,0.6044869632848944
41,0.041,0.6201457387679665
42,0.042,0.6359425878815976
43,0.043000000000000003,0.6518842089729046
44,0.044,0.667977220783336
45,0.045,0.6842281643512279
46,0.046,0.7006435045833024
47,0.047,0.7172296314889789
48,0.048,0.7339928610706815
49,0.049,0.7509394358626237
50,0.05,0.7680755251098506
51,0.051000000000000004,0.7854072245786031
52,0.052000000000000005,0.8029405559883526
53,0.053,0.8206814660551301
54,0.054,0.8386358251350513
55,0.055,0.8568094254562078
56,0.056,0.8752079789263757
57,0.057,0.8938371145032656
58,0.058,0.9127023751133267
59,0.059000000000000004,0.9318092141044124
60,0.06,0.9511629912169237
61,0.061,0.9707689680573716
62,0.062,0.9906323030576552
63,0.063,1.0107580459027228
64,0.064,1.0311511314087036
65,0.065,1.0518163728330439
66,0.066,1.072758454597687
67,0.067,1.0939819244058955
68,0.068,1.115491184732931
69,0.069,1.1372904836705149
70,0.07,1.159383905104767
71,0.07100000000000001,1.1817753582072072
72,0.07200000000000001,1.2044685662184007
73,0.073,1.2274670545039301
74,0.074,1.250774137862648
75,0.075,1.2743929070675604
76,0.076,1.2983262146202805
77,0.077,1.3225766597007582
78,0.078,1.3471465722949747
79,0.079,1.3720379964844969
80,0.08,1.3972526728832548
81,0.081,1.4227920202086353
82,0.082,1.4486571159760244
83,0.083,1.4748486763082853
84,0.084,1.5013670348543688
85,0.085,1.5282121208143338
86,0.08600000000000001,1.5553834360715402
87,0.08700000000000001,1.5828800314366926
88,0.088,1.6107004820127824
89,0.089,1.6388428616948407
90,0.09,1.6673047168237691
91,0.091,1.6960830390194406
92,0.092,1.7251742372247125
93,0.093,1.754574108999063
94,0.094,1.784277811108208
95,0.095,1.8142798294643514
96,0.096,1.8445739484806196
