,t,s
0,0.0,0.0
1,0.001,0.016178107590781282
2,0.002,0.0320998299922143
3,0.003,0.04778021217775587
4,0.004,0.06323386842258201
5,0.005,0.07847499937714386
6,0.006,0.09351740860988711
7,0.007,0.10837451863006574
8,0.008,0.12305938640171661
9,0.009000000000000001,0.1375847183599179
10,0.01,0.15196288494044086
11,0.011,0.16620593463382904
12,0.012,0.18032560757481003
13,0.013000000000000001,0.194333348677766
14,0.014,0.20824032032877116
15,0.015,0.2220574146444453
16,0.016,0.23579526530758463
17,0.017,0.24946425898921018
18,0.018000000000000002,0.2630745463663319
19,0.019,0.27663605274435754
20,0.02,0.2901584882926893
21,0.021,0.303651357901646
22,0.022,0.3171239706684267
23,0.023,0.3305854490193973
24,0.024,0.3440447374755312
25,0.025,0.35751061106737453
26,0.026000000000000002,0.37099168340543665
27,0.027,0.3844964144114196
28,0.028,0.3980331177152123
29,0.029,0.4116099677220711
30,0.03,0.4252350063538955
31,0.031,0.4389161494679938
32,0.032,0.45266119295619617
33,0.033,0.4664778185266435
34,0.034,0.4803735991700267
35,0.035,0.4943560043115005
36,0.036000000000000004,0.5084324046489291
37,0.037,0.5226100766775477
38,0.038,0.5368962069005397
39,0.039,0.5512978957244412
40,0.04,0.5658221610376745
41,0.041,0.5804759414699068
42,0.042,0.5952660993293079
43,0.043000000000000003,0.6101994232141413
44,0.044,0.6252826302944933
45,0.045,0.6405223682592797
46,0.046,0.6559252169230202
47,0.047,0.6714976894861908
48,0.048,0.6872462334422885
49,0.049,0.7031772311240543
50,0.05,0.7192969998806032
51,0.051000000000000004,0.7356117918765086
52,0.052000000000000005,0.7521277935031747
53,0.053,0.7688511243921274
54,0.054,0.7857878360191259
55,0.055,0.8029439098872901
56,0.056,0.8203252552767182
57,0.057,0.8379377065473574
58,0.058,0.8557870199811879
59,0.059000000000000004,0.8738788701490794
60,0.06,0.8922188457870064
61,0.061,0.9108124451656333
62,0.062,0.9296650709366527
63,0.063,0.9487820244386341
64,0.064,0.9681684994445732
65,0.065,0.9878295753327864
66,0.066,1.0077702096623082
67,0.067,1.0279952301335167
68,0.068,1.0485093259143408
69,0.069,1.0693170383121158
70,0.07,1.0904227507709374
71,0.07100000000000001,1.1118306781742617
72,0.07200000000000001,1.1335448554324967
73,0.073,1.1555691253354512
74,0.074,1.1779071256497746
75,0.075,1.2005622754419312
76,0.076,1.223537760607849
77,0.077,1.246836518591152
78,0.078,1.2704612222728804
79,0.079,1.2944142630168125
80,0.08,1.3186977328559781
81,0.081,1.3433134058076874
82,0.082,1.368262718306449
83,0.083,1.3935467487465054
84,0.084,1.4191661961284334
85,0.085,1.445121357807343
86,0.08600000000000001,1.4714121063436956
87,0.08700000000000001,1.498037865461686
88,0.088,1.5249975851245028
89,0.089,1.5522897157406566
90,0.09,1.5799121815209167
91,0.091,1.6078623530113334
92,0.092,1.6361370188342694
93,0.093,1.6647323566764414
94,0.094,1.6936439035706197
95,0.095,1.7228665255259286
96,0.096,1.7523943865706013
97,0.097,1.782220917280612
98,0.098,1.8123387828778155
99,0.099,1.8427398509920851
100,0.1,1.8734151591934234
101,0.101,1.90435488241213
102,0.10200000000000001,1.9355483003778013
103,0.10300000000000001,1.9669837652211781
104,0.10400000000000001,1.9986486693965901
105,0.105,2.0305294140969234
106,0.106,2.062611378347557
107,0.107,2.0948788889805035
108,0.108,2.127315191704931
109,0.109,2.1599024235051987
110,0.11,2.1926215866123946
111,0.111,2.225452524309907
112,0.112,2.2583738988476636
113,0.113,2.291363171753074
114,0.114,2.324396586839242
115,0.115,2.357449156222392
116,0.116,2.3904946496704267
117,0.117,2.4235055876128713
118,0.11800000000000001,2.456453238148761
119,0.11900000000000001,2.4893076183931346
120,0.12,2.5220375005042714
121,0.121,2.5546104227323947
122,0.122,2.586992705825942
123,0.123,2.6191494751233364
124,0.124,2.651044688646179
125,0.125,2.6826411714936853
126,0.126,2.7139006568176525
127,0.127,2.7447838336321406
128,0.128,2.7752504016821167
129,0.129,2.805259133560446
130,0.13,2.8347679442227207
131,0.131,2.8637339680044764
132,0.132,2.892113643195433
133,0.133,2.9198628041706374
134,0.134,2.946936781019004
135,0.135,2.9732905065461144
136,0.136,2.998878630460595
137,0.137,3.0236556404825867
138,0.138,3.047575990039245
139,0.139,3.0705942321367554
140,0.14,3.0926651589217067
141,0.14100000000000001,3.1137439463678613
142,0.14200000000000002,3.133786303448372
143,0.14300000000000002,3.152748625079386
144,0.14400000000000002,3.17058814804992
145,0.145,3.187263109086019
146,0.146,3.202732904135758
147,0.147,3.216958247906765
148,0.148,3.229901332640809
149,0.149,3.2415259850716995
150,0.15,3.251797820484304
151,0.151,3.260684392774844
152,0.152,3.268155339406502
153,0.153,3.274182520160428
154,0.154,3.2787401486009164
